id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	56	137	1063	45	267	1007	695	81
6	0	68	378	1106	136	0	1038	902	310
9	0	103	678	1736	198	262	1633	1173	575
2	0	34	37	2204	375	146	2170	1649	3
7	0	69	478	2492	409	108	2423	1906	409
4	0	59	178	2565	367	198	2506	1941	119
5	0	65	278	2967	342	219	2902	2341	213
10	0	112	752	3000	333	479	2888	2076	640
1	0	0	0	3073	522	659	3073	1892	0
8	0	97	578	3170	443	687	3073	1943	481
0	0	0	0	3170	0	0	3170	3170	0
