id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	68	643	779	136	0	711	575	575
3	0	56	233	1452	45	267	1396	1084	177
4	0	59	274	1567	367	198	1508	943	215
7	0	69	779	1810	409	108	1741	1224	710
9	0	103	1058	1983	198	262	1880	1420	955
2	0	34	37	2107	375	146	2073	1552	3
1	0	0	0	2822	522	659	2822	1641	0
5	0	65	532	2887	342	219	2822	2261	467
10	0	112	1132	2984	333	479	2872	2060	1020
8	0	97	945	3419	443	687	3322	2192	848
0	0	0	0	3419	249	0	3419	3170	0
