id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	0	57	83	95	12	0	38	26	26
8	1	61	102	657	69	36	596	491	41
9	2	67	128	761	56	0	694	638	61
3	2	28	33	824	82	22	796	692	5
5	2	36	61	905	63	0	869	806	25
4	4	33	49	1183	161	99	1150	890	16
1	7	0	0	1606	255	228	1606	1123	0
6	10	49	69	1914	435	190	1865	1240	20
10	12	69	178	2059	416	142	1990	1432	109
2	11	11	11	2426	549	539	2415	1327	0
0	0	0	0	2426	328	0	2426	2098	0
