id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	30	36	213	339	126	0	303	177	177
3	28	28	150	475	163	44	447	240	122
7	30	57	501	525	24	0	468	444	444
9	30	67	745	856	111	0	789	678	678
8	35	61	525	1285	136	71	1224	1017	464
4	125	33	177	2325	320	198	2292	1774	144
1	186	0	0	2926	509	453	2926	1964	0
6	98	49	475	3763	866	377	3714	2471	426
10	99	69	856	4059	828	283	3990	2879	787
2	37	11	88	4924	1093	1075	4913	2745	77
0	0	0	0	4924	748	0	4924	4176	0
