id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	36	176	1075	118	197	1039	724	140
10	0	105	619	1465	153	67	1360	1140	514
1	0	0	0	1475	147	184	1475	1144	0
8	0	78	319	1853	223	41	1775	1511	241
9	0	80	419	1937	284	0	1857	1573	339
3	0	26	76	2463	244	74	2437	2119	50
2	0	8	37	2663	347	361	2655	1947	29
6	0	69	261	3174	458	658	3105	1989	192
5	0	39	213	3444	829	147	3405	2429	174
7	0	71	295	3612	745	303	3541	2493	224
0	0	0	0	3612	64	0	3612	3548	0
