id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	30	80	737	1021	284	0	941	657	657
1	33	0	0	1280	147	184	1280	949	0
4	33	36	201	1361	118	197	1325	1010	165
10	61	105	1021	1815	153	67	1710	1490	916
5	35	39	238	2567	829	147	2528	1552	199
8	80	78	344	2904	223	41	2826	2562	266
2	121	8	37	3011	347	361	3003	2295	29
3	48	26	76	3020	244	74	2994	2676	50
6	104	69	286	3090	458	658	3021	1905	217
7	67	71	320	3805	745	303	3734	2686	249
0	0	0	0	3805	257	0	3805	3548	0
