id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	35	24	294	364	70	0	340	270	270
9	35	85	848	1001	153	0	916	763	763
10	35	90	1001	1183	182	0	1093	911	911
5	49	28	364	1459	155	14	1431	1262	336
2	58	13	118	1552	96	2	1539	1441	105
3	64	21	200	1753	295	7	1732	1430	179
1	76	0	0	1963	216	2	1963	1745	0
8	88	77	784	2160	452	33	2083	1598	707
7	116	71	724	2166	251	3	2095	1841	653
6	126	39	428	2355	481	19	2316	1816	389
0	0	0	0	2355	4	0	2355	2351	0
