id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	30	20	239	364	125	0	344	219	219
4	30	32	389	410	21	0	378	357	357
3	27	29	364	442	57	1	413	355	335
7	30	52	555	558	3	0	506	503	503
6	20	41	545	1209	271	255	1168	642	504
9	61	111	589	1521	225	108	1410	1077	478
5	57	37	442	2190	263	160	2153	1730	405
1	82	0	0	2433	363	124	2433	1946	0
8	91	70	558	3022	638	415	2952	1899	488
10	157	129	649	3931	1474	1063	3802	1265	520
0	0	0	0	3931	491	0	3931	3440	0
